Labour market region (SA4): ASGS (2011),Month,Age,Sex,Unemployment rate (%)
Capital Region,2022/02/01,15-24 years,Females,7.5
Capital Region,2022/02/01,25-34 years,Males,2.8
Capital Region,2022/02/01,25-34 years,Females,3.4
Capital Region,2022/02/01,35-44 years,Males,2.7
Capital Region,2022/02/01,35-44 years,Females,3.7
Capital Region,2022/02/01,45-54 years,Males,2.3
Capital Region,2022/02/01,45-54 years,Females,2.4
Capital Region,2022/02/01,55-64 years,Males,2.5
Capital Region,2022/02/01,55-64 years,Females,1.8
Capital Region,2022/02/01,65 years and over,Males,1.7
Capital Region,2022/02/01,65 years and over,Females,1.3
Capital Region,2022/01/01,15-24 years,Males,7.9
Capital Region,2022/01/01,15-24 years,Females,7.5
Capital Region,2022/01/01,25-34 years,Males,2.8
Capital Region,2022/01/01,25-34 years,Females,3.3
Capital Region,2022/01/01,35-44 years,Males,2.7
Capital Region,2022/01/01,35-44 years,Females,4.3
Capital Region,2022/01/01,45-54 years,Males,2.3
Capital Region,2022/01/01,45-54 years,Females,2.3
Capital Region,2022/01/01,55-64 years,Males,2.5
Capital Region,2022/01/01,55-64 years,Females,2.2
Capital Region,2022/01/01,65 years and over,Males,1.7
Capital Region,2022/01/01,65 years and over,Females,0.9
Capital Region,2021/12/01,15-24 years,Males,6.9
Capital Region,2021/12/01,15-24 years,Females,6.8
Capital Region,2021/12/01,25-34 years,Males,2.5
Capital Region,2021/12/01,25-34 years,Females,2.9
Capital Region,2021/12/01,35-44 years,Males,2.2
