Labour market region (SA4): ASGS (2011),Month,Age,Sex,Sum of Participation rate (%)
Capital Region,2022/11/01,25-34 years,Males,93.80197136
Capital Region,2022/11/01,25-34 years,Females,84.37678645
Capital Region,2022/11/01,35-44 years,Males,92.10250101
Capital Region,2022/11/01,35-44 years,Females,85.9249178
Capital Region,2022/11/01,45-54 years,Males,86.6247517
Capital Region,2022/11/01,45-54 years,Females,85.97564726
Capital Region,2022/11/01,55-64 years,Males,66.46534775
Capital Region,2022/11/01,55-64 years,Females,63.82890193
Capital Region,2022/11/01,65 years and over,Males,19.75836393
Capital Region,2022/11/01,65 years and over,Females,11.1861946
Capital Region,2022/10/01,15-24 years,Males,78.96680359
Capital Region,2022/10/01,15-24 years,Females,77.44008378
Capital Region,2022/10/01,25-34 years,Males,93.28990514
Capital Region,2022/10/01,25-34 years,Females,83.90510914
Capital Region,2022/10/01,35-44 years,Males,92.12772962
Capital Region,2022/10/01,35-44 years,Females,86.02333384
Capital Region,2022/10/01,45-54 years,Males,86.63059169
Capital Region,2022/10/01,45-54 years,Females,86.06319705
Capital Region,2022/10/01,55-64 years,Males,66.39153271
Capital Region,2022/10/01,55-64 years,Females,63.5346342
Capital Region,2022/10/01,65 years and over,Males,19.74764421
Capital Region,2022/10/01,65 years and over,Females,10.79526203
Capital Region,2022/09/01,15-24 years,Males,77.74049496
Capital Region,2022/09/01,15-24 years,Females,76.66766141
Capital Region,2022/09/01,25-34 years,Males,92.82293599
Capital Region,2022/09/01,25-34 years,Females,83.53651275
Capital Region,2022/09/01,35-44 years,Males,92.0481897
Capital Region,2022/09/01,35-44 years,Females,86.1271696
Capital Region,2022/09/01,45-54 years,Males,86.70052594
Capital Region,2022/09/01,45-54 years,Females,85.98144021
Capital Region,2022/09/01,55-64 years,Males,66.25501912
Capital Region,2022/09/01,55-64 years,Females,63.27400575
Capital Region,2022/09/01,65 years and over,Males,19.52674557
Capital Region,2022/09/01,65 years and over,Females,10.41455807
Capital Region,2022/08/01,15-24 years,Males,76.06059182
Capital Region,2022/08/01,15-24 years,Females,76.91166223
Capital Region,2022/08/01,25-34 years,Males,92.55964419
Capital Region,2022/08/01,25-34 years,Females,83.41562914
Capital Region,2022/08/01,35-44 years,Males,91.97521367
Capital Region,2022/08/01,35-44 years,Females,86.23573324
Capital Region,2022/08/01,45-54 years,Males,86.95896536
Capital Region,2022/08/01,45-54 years,Females,86.09317572
Capital Region,2022/08/01,55-64 years,Males,66.40340846
Capital Region,2022/08/01,55-64 years,Females,63.28112201
Capital Region,2022/08/01,65 years and over,Males,19.60131814
Capital Region,2022/08/01,65 years and over,Females,10.03193552
Capital Region,2022/07/01,15-24 years,Males,75.96296432
Capital Region,2022/07/01,15-24 years,Females,77.55233033
Capital Region,2022/07/01,25-34 years,Males,92.2208307
Capital Region,2022/07/01,25-34 years,Females,83.45903745
Capital Region,2022/07/01,35-44 years,Males,91.80369923
Capital Region,2022/07/01,35-44 years,Females,86.29149897
Capital Region,2022/07/01,45-54 years,Males,87.16629659
Capital Region,2022/07/01,45-54 years,Females,86.27333264
Capital Region,2022/07/01,55-64 years,Males,66.65686653
Capital Region,2022/07/01,55-64 years,Females,63.3263725
Capital Region,2022/07/01,65 years and over,Males,19.68209544
Capital Region,2022/07/01,65 years and over,Females,9.818924646
Capital Region,2022/06/01,15-24 years,Males,75.88012226
Capital Region,2022/06/01,15-24 years,Females,77.4498504
Capital Region,2022/06/01,25-34 years,Males,91.77120734
Capital Region,2022/06/01,25-34 years,Females,83.72501787
Capital Region,2022/06/01,35-44 years,Males,91.60939798
Capital Region,2022/06/01,35-44 years,Females,86.43317334
Capital Region,2022/06/01,45-54 years,Males,87.28314965
Capital Region,2022/06/01,45-54 years,Females,86.25929805
Capital Region,2022/06/01,55-64 years,Males,66.48626206
Capital Region,2022/06/01,55-64 years,Females,63.22975887
Capital Region,2022/06/01,65 years and over,Males,19.47288055
Capital Region,2022/06/01,65 years and over,Females,9.766771248
Capital Region,2022/05/01,15-24 years,Males,75.95268377
Capital Region,2022/05/01,15-24 years,Females,77.92561489
Capital Region,2022/05/01,25-34 years,Males,91.61721707
Capital Region,2022/05/01,25-34 years,Females,84.10596578
Capital Region,2022/05/01,35-44 years,Males,91.55464679
Capital Region,2022/05/01,35-44 years,Females,86.60910873
Capital Region,2022/05/01,45-54 years,Males,87.60722451
Capital Region,2022/05/01,45-54 years,Females,86.4024411
Capital Region,2022/05/01,55-64 years,Males,66.64900914
Capital Region,2022/05/01,55-64 years,Females,63.46840189
Capital Region,2022/05/01,65 years and over,Males,19.49323296
Capital Region,2022/05/01,65 years and over,Females,10.03732965
Capital Region,2022/04/01,15-24 years,Males,74.98397228
Capital Region,2022/04/01,15-24 years,Females,77.29404662
Capital Region,2022/04/01,25-34 years,Males,90.84216578
Capital Region,2022/04/01,25-34 years,Females,83.49607004
Capital Region,2022/04/01,35-44 years,Males,91.12685952
Capital Region,2022/04/01,35-44 years,Females,86.24429713
Capital Region,2022/04/01,45-54 years,Males,87.24229401
Capital Region,2022/04/01,45-54 years,Females,85.66746611
Capital Region,2022/04/01,55-64 years,Males,65.6068182
Capital Region,2022/04/01,55-64 years,Females,62.6720922
Capital Region,2022/04/01,65 years and over,Males,19.24040964
